letón;español;ejemplo_letón;ejemplo_español
nākotne;futuro;Es domāju par savu nākotni.;Pienso en mi futuro.
rīt;mañana;Rīt es strādāšu.;Mañana trabajaré.
parīt;pasado mañana;Parīt mēs ceļosim.;Pasado mañana viajaremos.
nākamajā nedēļā;la próxima semana;Nākamajā nedēļā būs eksāmens.;La próxima semana habrá examen.
nākamajā mēnesī;el próximo mes;Nākamajā mēnesī pārcelšos.;El próximo mes me mudaré.
nākamajā gadā;el próximo año;Nākamajā gadā kāršošu A2.;El próximo año me presentaré al A2.
drīz;pronto;Drīz būs pavasaris.;Pronto será primavera.
vēlāk;más tarde;Es piezvanīšu vēlāk.;Llamaré más tarde.
kādreiz;algún día;Kādreiz es runāšu perfekti.;Algún día hablaré perfectamente.
plāns;plan;Kāds ir tavs plāns šovakar?;¿Cuál es tu plan para esta noche?
plānot;planear;Mēs plānojam ceļojumu.;Planeamos un viaje.
atvaļinājums;vacaciones (largas);Es došos atvaļinājumā augustā.;Me iré de vacaciones en agosto.
ceļojums;viaje;Mans ceļojums uz Latviju bija jauks.;Mi viaje a Letonia fue agradable.
bagāža;equipaje;Mana bagāža ir smaga.;Mi equipaje es pesado.
pase;pasaporte;Pase ir derīga.;El pasaporte está vigente.
biļete;boleto / billete;Es nopirku biļeti uz Rīgu.;Compré un boleto a Riga.
viesnīca;hotel;Viesnīca atrodas centrā.;El hotel se ubica en el centro.
rezervēt;reservar;Es vēlos rezervēt istabu.;Quisiera reservar habitación.
varēt;poder (capacidad);Es varu palīdzēt.;Puedo ayudar.
drīkstēt;estar permitido;Vai es drīkstu ienākt?;¿Puedo entrar?
gribēt;querer;Es gribu kafiju.;Quiero un café.
mācēt;saber hacer;Es māku peldēt.;Sé nadar.
vajadzēt;necesitar (imp.);Man vajag naudas.;Necesito dinero.
jāstrādā;tener que trabajar;Man rīt jāstrādā.;Mañana tengo que trabajar.
jāmācās;tener que estudiar;Tev jāmācās vairāk.;Tienes que estudiar más.
jāiet;tener que ir;Bērnam jāiet skolā.;El niño tiene que ir a la escuela.
jāpērk;tener que comprar;Mums jāpērk maize.;Tenemos que comprar pan.
labāks;mejor (m);Šis ir labāks.;Este es mejor.
labāka;mejor (f);Šī ideja ir labāka.;Esta idea es mejor.
sliktāks;peor (m);Vakar bija sliktāks laiks.;Ayer hizo peor tiempo.
vairāk;más;Es gribu vairāk laika.;Quiero más tiempo.
mazāk;menos;Es strādāju mazāk šomēnes.;Trabajo menos este mes.
vislabākais;el mejor;Tas ir vislabākais restorāns.;Es el mejor restaurante.
vislielākais;el más grande;Rīga ir vislielākā pilsēta.;Riga es la ciudad más grande.
gadalaiki;estaciones (pl);Latvijā ir četri gadalaiki.;En Letonia hay cuatro estaciones.
pavasaris;primavera;Pavasarī aug puķes.;En primavera crecen las flores.
vasara;verano;Vasarā es atpūšos.;En verano descanso.
rudens;otoño;Rudenī krīt lapas.;En otoño caen las hojas.
ziema;invierno;Ziemā Latvijā ir auksts.;En invierno hace frío en Letonia.
laiks;tiempo (clima);Kāds laiks šodien?;¿Qué tiempo hace hoy?
silts;cálido;Šodien ir silts.;Hoy hace cálido.
karsts;caliente;Vasarā ir karsts.;En verano hace calor.
auksts;frío;Ziemā ir auksts.;En invierno hace frío.
vēss;fresco;Rudenī ir vēss.;En otoño hace fresco.
saulains;soleado;Šodien ir saulains.;Hoy está soleado.
mākoņains;nublado;Vakar bija mākoņains.;Ayer estaba nublado.
lietains;lluvioso;Aprīlis ir lietains.;Abril es lluvioso.
sniegs;nieve;Bērni spēlējas sniegā.;Los niños juegan en la nieve.
lietus;lluvia;Lietus krīt visu dienu.;La lluvia cae todo el día.
