letón;español;ejemplo_letón;ejemplo_español
vakar;ayer;Vakar es strādāju astoņas stundas.;Ayer trabajé ocho horas.
aizvakar;anteayer;Aizvakar mēs braucām uz Liepāju.;Anteayer fuimos a Liepāja.
pagājušajā nedēļā;la semana pasada;Pagājušajā nedēļā es lasīju divas grāmatas.;La semana pasada leí dos libros.
pagājušajā mēnesī;el mes pasado;Pagājušajā mēnesī viņa pārcēlās uz Rīgu.;El mes pasado ella se mudó a Riga.
pagājušajā gadā;el año pasado;Pagājušajā gadā mēs ceļojām uz Itāliju.;El año pasado viajamos a Italia.
pirms;hace / antes de;Pirms gada es sāku mācīties latviski.;Hace un año empecé a estudiar letón.
šorīt;esta mañana;Šorīt es atpūtos.;Esta mañana descansé.
šovakar;esta noche;Šovakar mēs ejam kino.;Esta noche vamos al cine.
nedēļas nogale;fin de semana;Nedēļas nogalē es uzkopu māju.;El fin de semana limpio la casa.
brīvdienas;fin de semana / vacaciones;Brīvdienās mēs gulējām līdz vēlam.;En el fin de semana dormimos hasta tarde.
piedzimt;nacer;Es piedzimu 1990. gadā.;Nací en 1990.
uzaugt;crecer / criarse;Es uzaugu Madridē.;Crecí en Madrid.
pabeigt;terminar;Es pabeidzu skolu pirms desmit gadiem.;Terminé la escuela hace diez años.
studēt;estudiar (univ.);Es studēju ekonomiku universitātē.;Estudié economía en la universidad.
pārcelties;mudarse (refl.);Es pārcēlos uz Rīgu pagājušajā gadā.;Me mudé a Riga el año pasado.
emigrēt;emigrar;Mans tēvs emigrēja jaunībā.;Mi padre emigró siendo joven.
mainīt darbu;cambiar de trabajo;Es mainīju darbu trīs reizes.;Cambié de trabajo tres veces.
precēties;casarse;Mēs precējāmies 2020. gadā.;Nos casamos en 2020.
gulēt;dormir;Es guļu astoņas stundas.;Duermo ocho horas.
nekad;nunca;Es nekad neēdu cūkgaļu.;Nunca como cerdo.
neviens;nadie / ninguno;Šeit nav neviena.;Aquí no hay nadie.
nekas;nada;Es nezinu neko.;No sé nada.
