letón;español;ejemplo_letón;ejemplo_español
vēsture;historia;Latvijas vēsture ir interesanta.;La historia de Letonia es interesante.
valsts;estado / país;Latvija ir Eiropas valsts.;Letonia es un estado europeo.
dibināšana;fundación;Latvijas dibināšana bija 1918. gadā.;La fundación de Letonia fue en 1918.
neatkarība;independencia;Latvija atguva neatkarību 1991.;Letonia recuperó la independencia en 1991.
atjaunošana;restauración;Neatkarības atjaunošana bija 1990.;La restauración fue en 1990.
okupācija;ocupación;Padomju okupācija ilga 47 gadus.;La ocupación soviética duró 47 años.
brīvība;libertad;Brīvība ir vissvarīgākā vērtība.;La libertad es el valor más importante.
karš;guerra;Pēc kara Latvija atjaunojās.;Tras la guerra Letonia se reconstruyó.
miers;paz;Mēs gribam mieru.;Queremos paz.
prezidents;presidente;Latvijas prezidents dzīvo Rīgas pilī.;El presidente vive en el castillo de Riga.
valdība;gobierno;Valdība pieņem likumus.;El gobierno aprueba leyes.
parlaments;parlamento;Latvijas parlaments — Saeima.;El parlamento letón — Saeima.
Saeima;Saeima (parlamento);Saeimā ir 100 deputātu.;En la Saeima hay 100 diputados.
Satversme;Constitución letona;Satversme pieņemta 1922. gadā.;La Constitución se adoptó en 1922.
pilsoņi;ciudadanos;Latvijas pilsoņi balso vēlēšanās.;Los ciudadanos votan en elecciones.
likums;ley;Šis likums ir jauns.;Esta ley es nueva.
karogs;bandera;Latvijas karogs ir sarkans-balts-sarkans.;La bandera letona es carmesí-blanca-carmesí.
ģerbonis;escudo;Ģerbonī ir saule un lauva.;En el escudo hay un sol y un león.
himne;himno;Latvijas himne ir Dievs, svētī Latviju!;El himno letón es Dios, bendice a Letonia.
galvaspilsēta;capital;Rīga ir Latvijas galvaspilsēta.;Riga es la capital de Letonia.
iedzīvotāji;habitantes;Latvijā ir 1.9 miljoni iedzīvotāju.;En Letonia hay 1.9 millones de habitantes.
upe;río;Daugava ir Latvijas garākā upe.;El Daugava es el río más largo de Letonia.
Daugava;Daugava;Daugava plūst caur Rīgu.;El Daugava fluye por Riga.
mežs;bosque;Latvijā ir daudz mežu.;En Letonia hay muchos bosques.
jūra;mar;Latvijai ir robeža ar Baltijas jūru.;Letonia tiene frontera con el mar Báltico.
Kurzeme;Curlandia;Kurzeme atrodas rietumos.;Curlandia está al oeste.
Vidzeme;Livonia;Cēsis ir Vidzemē.;Cēsis está en Vidzeme.
Latgale;Letgallia;Daugavpils ir Latgalē.;Daugavpils está en Latgale.
Zemgale;Semgalia;Jelgava ir Zemgalē.;Jelgava está en Zemgale.
Sēlija;Selonia;Sēlija ir mazākā novada.;Selonia es la región más pequeña.
Lāčplēša diena;Día del héroe Lāčplēsis;11. novembrī ir Lāčplēša diena.;El 11 de noviembre es el día de Lāčplēsis.
Jāņi;Solsticio de verano letón;Jāņus svinēja visa Latvija.;Toda Letonia celebró el Jāņi.
Ulmanis;Kārlis Ulmanis;Ulmanis bija pēdējais starpkara prezidents.;Ulmanis fue el último presidente del periodo entre guerras.
Čakste;Jānis Čakste;Čakste bija pirmais Latvijas prezidents.;Čakste fue el primer presidente de Letonia.
Rainis;Rainis (poeta);Rainis ir Latvijas nacionālais dzejnieks.;Rainis es el poeta nacional de Letonia.
Aspazija;Aspazija (poetisa);Aspazija bija Raiņa sieva.;Aspazija era la esposa de Rainis.
daina;daina (canción folclórica);Latvijā ir miljons dainu.;En Letonia hay un millón de dainas.
svinēt;celebrar;Mēs svinam 18. novembri.;Celebramos el 18 de noviembre.
atcerēties;recordar;Mēs atceramies vēstures notikumus.;Recordamos los eventos históricos.
Eiropas Savienība;Unión Europea;Latvija iestājās ES 2004. gadā.;Letonia entró en la UE en 2004.
eiro;euro;Latvijas valūta ir eiro.;La moneda de Letonia es el euro.
pilsonība;ciudadanía;Es saņēmu Latvijas pilsonību.;Recibí la ciudadanía letona.
uzturēšanās atļauja;permiso de residencia;Man vajag pastāvīgo uzturēšanās atļauju.;Necesito el permiso de residencia permanente.
pastāvīgs;permanente;Pastāvīga adrese ir Rīgā.;La dirección permanente está en Riga.
pieteikties;inscribirse;Es pieteicos eksāmenam.;Me inscribí al examen.
sertifikāts;certificado;A2 sertifikāts ir vajadzīgs.;El certificado A2 es necesario.
kārtot eksāmenu;presentar el examen;Es kārtošu eksāmenu janvārī.;Presentaré el examen en enero.
nokārtot;aprobar;Es nokārtoju eksāmenu!;¡Aprobé el examen!
neizdoties;no salir bien;Diemžēl man neizdevās.;Lamentablemente no me salió bien.
mēģināt vēlreiz;intentar otra vez;Es mēģināšu vēlreiz.;Lo intentaré otra vez.
gatavoties;prepararse (refl.);Es gatavojos eksāmenam.;Me preparo para el examen.
satraukums;preocupación / nervios;Pirms eksāmena man bija satraukums.;Antes del examen tenía nervios.
mierīgs;tranquilo;Es jūtos mierīgs.;Me siento tranquilo.
pārliecināts;seguro / convencido;Es esmu pārliecināts par sevi.;Estoy seguro de mí mismo.
